Posisi_Lowongan,Nama_Perusahaan,Kota_Area,Lokasi_Spesifik,Fokus_Bidang,Skill_Kesesuaian,Tingkat_Pengalaman,Estimasi_Gaji,Portal_Sumber,Tanggal_Posting,Link_Lamaran
Quality Operations (Downstream),ofi Indonesia,Jabodetabek Sekitarnya,Jabodetabek Sekitarnya,QA/QC & Food Safety (HACCP/GMP),"quality assurance, food safety, haccp, gmp, fssc 22000, microbiology",Asosiasi,Sesuai Kebijakan Perusahaan,LinkedIn,1 minggu yang lalu,https://id.linkedin.com/jobs/view/quality-operations-downstream-at-ofi-indonesia-4464439913
Now Hiring: QA/QC & SEAFOOD PRODUCT INSPECTION OFFICER | Join DELOS,DELOS,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"qa, qc, haccp, gmp",Asosiasi,Sesuai Kebijakan Perusahaan,LinkedIn,1 hari yang lalu,https://id.linkedin.com/jobs/view/now-hiring-qa-qc-seafood-product-inspection-officer-join-delos-at-delos-4465521412
QC Analyst Microbiology,FrieslandCampina,Bekasi / Cikarang,Bekasi / Cikarang,QA/QC & Food Safety (HACCP/GMP),"qc, quality assurance, quality control, food safety, haccp, gmp",Tidak Berlaku,Sesuai Kebijakan Perusahaan,LinkedIn,4 hari yang lalu,https://id.linkedin.com/jobs/view/qc-analyst-microbiology-at-frieslandcampina-4466372997
Quality Assurance (Customer Focus),ofi Indonesia,Jabodetabek Sekitarnya,Jabodetabek Sekitarnya,QA/QC & Food Safety (HACCP/GMP),"quality assurance, food safety, haccp, gmp, fssc 22000, microbiology",Asosiasi,Sesuai Kebijakan Perusahaan,LinkedIn,1 minggu yang lalu,https://id.linkedin.com/jobs/view/quality-assurance-customer-focus-at-ofi-indonesia-4464455509
Quality Control Analyst,PT Danz Nine Indonesia,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"qa, qc, quality control, gmp, hygiene, sanitasi",Tingkat pemula,Sesuai Kebijakan Perusahaan,LinkedIn,3 minggu yang lalu,https://id.linkedin.com/jobs/view/quality-control-analyst-at-pt-danz-nine-indonesia-4455632022
Japfa Food Staff Hiring,JAPFA,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"haccp, gmp",Tidak Berlaku,Sesuai Kebijakan Perusahaan,LinkedIn,3 minggu yang lalu,https://id.linkedin.com/jobs/view/japfa-food-staff-hiring-at-japfa-4456687876
Quality Control Operator,United Steel Center Indonesia,Jabodetabek Sekitarnya,Jabodetabek Sekitarnya,QA/QC & Food Safety (HACCP/GMP),quality control,Tingkat pemula,Sesuai Kebijakan Perusahaan,LinkedIn,3 bulan yang lalu,https://id.linkedin.com/jobs/view/quality-control-operator-at-united-steel-center-indonesia-4425763187
Quality Control Technician,CATL,Jabodetabek Sekitarnya,Jabodetabek Sekitarnya,QA/QC & Food Safety (HACCP/GMP),"qc, quality control",Senior tingkat menengah,Sesuai Kebijakan Perusahaan,LinkedIn,2 bulan yang lalu,https://id.linkedin.com/jobs/view/quality-control-technician-at-catl-4446291904
Quality Control / Product Quality Furniture,Dekoruma,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"qa, qc, quality assurance, quality control",Asosiasi,Sesuai Kebijakan Perusahaan,LinkedIn,2 hari yang lalu,https://id.linkedin.com/jobs/view/quality-control-product-quality-furniture-at-dekoruma-4467032126
Technical & QA Specialist - Nestlé Professional,Nestlé,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"qa, quality assurance, food safety",Asosiasi,Sesuai Kebijakan Perusahaan,LinkedIn,1 minggu yang lalu,https://id.linkedin.com/jobs/view/technical-qa-specialist-nestl%C3%A9-professional-at-nestl%C3%A9-4464325483
Surface Material Inspector #SMIPHM,Bureau Veritas,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"quality assurance, quality control",Tidak Berlaku,Sesuai Kebijakan Perusahaan,LinkedIn,1 bulan yang lalu,https://id.linkedin.com/jobs/view/surface-material-inspector-%23smiphm-at-bureau-veritas-4451402597
Executive Chef,Grand Hyatt,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"food safety, haccp, hygiene",Tidak Berlaku,Sesuai Kebijakan Perusahaan,LinkedIn,3 bulan yang lalu,https://id.linkedin.com/jobs/view/executive-chef-at-grand-hyatt-4429963200
Commis COPA Restaurant,25hours Hotels,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"food safety, haccp, hygiene",Tidak Berlaku,Sesuai Kebijakan Perusahaan,LinkedIn,2 minggu yang lalu,https://id.linkedin.com/jobs/view/commis-copa-restaurant-at-25hours-hotels-4459509579
Demi Chef COPA Restaurant,25hours Hotels,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"food safety, haccp, hygiene",Tidak Berlaku,Sesuai Kebijakan Perusahaan,LinkedIn,1 minggu yang lalu,https://id.linkedin.com/jobs/view/demi-chef-copa-restaurant-at-25hours-hotels-4460757943
F&B Team Leader Li Lian - Park Hyatt Jakarta,Park Hyatt,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"quality control, food safety, hygiene",Tidak Berlaku,Sesuai Kebijakan Perusahaan,LinkedIn,5 hari yang lalu,https://id.linkedin.com/jobs/view/f-b-team-leader-li-lian-park-hyatt-jakarta-at-park-hyatt-4446574290
Production Planning Control,PT Danz Nine Indonesia,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"qa, qc, gmp, r&d",Senior tingkat menengah,Sesuai Kebijakan Perusahaan,LinkedIn,5 hari yang lalu,https://id.linkedin.com/jobs/view/production-planning-control-at-pt-danz-nine-indonesia-4464180972
"Dosen Farmasi (Biologi Farmasi, Bioteknologi) Pharmaceutical Biology Lecturer",,Jakarta,Jakarta,Analis Laboratorium & R&D,bioteknologi,Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94090182
Research and Development Staff  (Skincare & Cosmetic),,Jabodetabek Sekitarnya,Jabodetabek Sekitarnya,Analis Laboratorium & R&D,research and development,Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94288436
Microbiology Engineer,OrbusNeich Medical Company Limited,Bekasi / Cikarang,Bekasi / Cikarang,Mikrobiologi & Mikologi,microbiology,Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94356238
Quality Control Microbiology Analyst Officer,,Bekasi / Cikarang,Bekasi / Cikarang,QA/QC & Food Safety (HACCP/GMP),"quality control, microbiology",Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94398415
Microbiology Specialist,PT Pyridam Farma Tbk,Bekasi / Cikarang,Bekasi / Cikarang,Mikrobiologi & Mikologi,microbiology,Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94317819
Research & Development (R&D) Food Technologist / Healthy Food Formulator,,Jakarta,Jakarta,Mikrobiologi & Mikologi,r&d,Fresh Graduate / Entry Level,Rp 8.000.000 – Rp 12.000.000 per month,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94595518
ANALIS LABORATORIUM KIMIA,PT. Integrita Global Sertifikat,Jabodetabek Sekitarnya,Jabodetabek Sekitarnya,Analis Laboratorium & R&D,analis laboratorium,Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94647955
QC Analyst Microbiology,Frisian Flag,Bekasi / Cikarang,Bekasi / Cikarang,QA/QC & Food Safety (HACCP/GMP),"qc, microbiology",Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94556443
Analytical Assistant Scientist (Microbiology),,Bekasi / Cikarang,Bekasi / Cikarang,Mikrobiologi & Mikologi,microbiology,Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94323354
Microbiology Analyst,,Jakarta,Jakarta,Mikrobiologi & Mikologi,microbiology,Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94469184
QC Staff (Microbiology),PT Sukanda Djaya,Bekasi / Cikarang,Bekasi / Cikarang,QA/QC & Food Safety (HACCP/GMP),"qc, microbiology",Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94136157
Operator WTP / WWTP,PT. Huabao Food Technology Indonesia,Bekasi / Cikarang,Bekasi / Cikarang,Bioremediasi & Waste Treatment (WWTP/IPAL),wwtp,Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94078452
Operator Engineering WWTP (Waste Water Treatment Plant),PT Polindo Utama,Jabodetabek Sekitarnya,Jabodetabek Sekitarnya,Bioremediasi & Waste Treatment (WWTP/IPAL),wwtp,Fresh Graduate / Entry Level,Rp 5.300.000 – Rp 5.700.000 per month,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94305730
Operator Engineering WTP WWTP,PT Glico Wings,Jabodetabek Sekitarnya,Jabodetabek Sekitarnya,Bioremediasi & Waste Treatment (WWTP/IPAL),wwtp,Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94082321
WWTP Leader,RAJA TOP FOOD,Jabodetabek Sekitarnya,Jabodetabek Sekitarnya,Bioremediasi & Waste Treatment (WWTP/IPAL),wwtp,Fresh Graduate / Entry Level,"Rp 5,000,000 – Rp 5,500,000 per month",JobStreet,Tersedia,https://id.jobstreet.com/id/job/94264182
Commissioning Engineer (WWTP Project),Obayashi-Wijaya Karya-Jaya Konstruksi-JFE Engineering Joint Venture,Jakarta,Jakarta,Bioremediasi & Waste Treatment (WWTP/IPAL),wwtp,Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94355842
Teknisi WWTP,PT Tirta Alam Segar,Bekasi / Cikarang,Bekasi / Cikarang,Bioremediasi & Waste Treatment (WWTP/IPAL),wwtp,Fresh Graduate / Entry Level,Sesuai Kebijakan Perusahaan,JobStreet,Tersedia,https://id.jobstreet.com/id/job/94052059
Quality Audit Officer,Astro Technologies Indonesia,Jakarta,Jakarta,QA/QC & Food Safety (HACCP/GMP),"qa, qc, food safety, haccp, gmp, hygiene",Terbuka untuk Fresh Graduate,Kompetitif / Dirahasiakan,Kalibrr,2026-08-23,https://www.kalibrr.com/c/astro-technologies-indonesia/jobs/271571/quality-audit-officer-2
